id,title,album,views,videos,tt_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,duration_mins
7a36iH7UW3r9CKWEEy44wg,Space Jam - Main Theme,Space Jam - Main Theme,27300000,8,6.891415323988199e+18,33.0,0.903,0.604,10.0,-11.906,0.0,0.0494,0.0264,0.00785,0.367,0.389,132.031,audio_features,spotify:track:7a36iH7UW3r9CKWEEy44wg,https://api.spotify.com/v1/tracks/7a36iH7UW3r9CKWEEy44wg,https://api.spotify.com/v1/audio-analysis/7a36iH7UW3r9CKWEEy44wg,305568.0,4.0,5.0928
4kSyTcnCeergPzMkniQKwM,"En Duygusal Fon Müzik , #ErhanGündere fon müziği","En Duygusal Fon Müzik , #ErhanGündere fon müziği",10600000,7,6.997514298461276e+18,8.0,0.297,0.104,9.0,-16.854,0.0,0.0348,0.996,0.929,0.0897,0.814,90.097,audio_features,spotify:track:4kSyTcnCeergPzMkniQKwM,https://api.spotify.com/v1/tracks/4kSyTcnCeergPzMkniQKwM,https://api.spotify.com/v1/audio-analysis/4kSyTcnCeergPzMkniQKwM,102445.0,4.0,1.7074166666666666
6KECXmLX2K6VS9Oe2sdjfm,Tor Orbal - Hamayoon Khan - Pashto New Song 2021,Tor Orbal - Hamayoon Khan - Pashto New Song 2021,1850,1,6.939459057493232e+18,2.0,0.635,0.768,8.0,-4.596,1.0,0.0582,0.596,0.0013,0.137,0.85,90.913,audio_features,spotify:track:6KECXmLX2K6VS9Oe2sdjfm,https://api.spotify.com/v1/tracks/6KECXmLX2K6VS9Oe2sdjfm,https://api.spotify.com/v1/audio-analysis/6KECXmLX2K6VS9Oe2sdjfm,292027.0,4.0,4.867116666666667
1HYwiWNz2hyisX1LlaCRVF,Have Yourself a Merry Little Christmas,Christmas Songs by Sinatra,69400,1,6.745169187959736e+18,0.0,0.153,0.347,7.0,-6.981,1.0,0.031,0.778,1.31e-05,0.119,0.167,76.008,audio_features,spotify:track:1HYwiWNz2hyisX1LlaCRVF,https://api.spotify.com/v1/tracks/1HYwiWNz2hyisX1LlaCRVF,https://api.spotify.com/v1/audio-analysis/1HYwiWNz2hyisX1LlaCRVF,151867.0,3.0,2.5311166666666667
1LiwqqaafXkNQuWGW3HeId,More Bounce 2 The Ounce,"Bacc 2 Tha Old School, Vol. 1",1500000,1,6.757252495401044e+18,54.0,0.85,0.818,0.0,-8.623,1.0,0.0904,0.124,0.00135,0.349,0.839,105.266,audio_features,spotify:track:1LiwqqaafXkNQuWGW3HeId,https://api.spotify.com/v1/tracks/1LiwqqaafXkNQuWGW3HeId,https://api.spotify.com/v1/audio-analysis/1LiwqqaafXkNQuWGW3HeId,311120.0,4.0,5.185333333333333
0JgPab0NSWaJfOZSztTYrk,Zurnalamasyon,Zurnalamasyon,8800000,5,6.801228665519606e+18,22.0,0.78,0.796,0.0,-6.797,1.0,0.0324,0.000785,0.937,0.0695,0.252,149.988,audio_features,spotify:track:0JgPab0NSWaJfOZSztTYrk,https://api.spotify.com/v1/tracks/0JgPab0NSWaJfOZSztTYrk,https://api.spotify.com/v1/audio-analysis/0JgPab0NSWaJfOZSztTYrk,173793.0,4.0,2.89655
3NgcrZi6iSijevpvpTT8UQ,Dinero - Spanish Version,Dinero - Spanish Version,29700,1,6.962499072804572e+18,0.0,0.762,0.64,0.0,-10.166,1.0,0.036,0.306,0.913,0.0749,0.713,139.933,audio_features,spotify:track:3NgcrZi6iSijevpvpTT8UQ,https://api.spotify.com/v1/tracks/3NgcrZi6iSijevpvpTT8UQ,https://api.spotify.com/v1/audio-analysis/3NgcrZi6iSijevpvpTT8UQ,276062.0,4.0,4.6010333333333335
0pdKRp2sUthTPe7RLWpPqQ,You're Somebody Else,You're Somebody Else,6300000,3,6.832686537394687e+18,75.0,0.713,0.452,1.0,-9.638,1.0,0.0295,0.841,0.0038,0.105,0.235,102.963,audio_features,spotify:track:0pdKRp2sUthTPe7RLWpPqQ,https://api.spotify.com/v1/tracks/0pdKRp2sUthTPe7RLWpPqQ,https://api.spotify.com/v1/audio-analysis/0pdKRp2sUthTPe7RLWpPqQ,218883.0,4.0,3.64805
0omM3mkVfjt8MhDKinkhcn,Filakes,Filakes,23500,1,6.849652543505582e+18,55.0,0.64,0.639,9.0,-6.397,1.0,0.0669,0.149,0.0,0.271,0.298,167.864,audio_features,spotify:track:0omM3mkVfjt8MhDKinkhcn,https://api.spotify.com/v1/tracks/0omM3mkVfjt8MhDKinkhcn,https://api.spotify.com/v1/audio-analysis/0omM3mkVfjt8MhDKinkhcn,216902.0,4.0,3.6150333333333333
7aohwSiTDju51QmC54AUba,You and I,You and I [ТикТок],38100,2,6.926918113989265e+18,64.0,0.698,0.285,0.0,-7.632,1.0,0.0553,0.927,0.0,0.0883,0.53,135.027,audio_features,spotify:track:7aohwSiTDju51QmC54AUba,https://api.spotify.com/v1/tracks/7aohwSiTDju51QmC54AUba,https://api.spotify.com/v1/audio-analysis/7aohwSiTDju51QmC54AUba,148400.0,4.0,2.473333333333333
3sYYtlkJr6tnj7bbEQyiRz,Den Eho Vgali To Sholio,I Ellada Tou Grigori,774700,112,5.000000001215918e+18,0.0,0.807,0.464,7.0,-9.765,1.0,0.042,0.801,0.00224,0.0496,0.886,133.653,audio_features,spotify:track:3sYYtlkJr6tnj7bbEQyiRz,https://api.spotify.com/v1/tracks/3sYYtlkJr6tnj7bbEQyiRz,https://api.spotify.com/v1/audio-analysis/3sYYtlkJr6tnj7bbEQyiRz,155000.0,4.0,2.5833333333333335
5erj647SYiDcIR8Zwi6tc9,It Gets Better,It Gets Better,60400,1,6.984602980221716e+18,66.0,0.642,0.709,0.0,-7.064,1.0,0.0421,0.00176,0.505,0.291,0.0641,118.928,audio_features,spotify:track:5erj647SYiDcIR8Zwi6tc9,https://api.spotify.com/v1/tracks/5erj647SYiDcIR8Zwi6tc9,https://api.spotify.com/v1/audio-analysis/5erj647SYiDcIR8Zwi6tc9,184611.0,4.0,3.07685
64iaD7mlO3OMrL7ACCND13,10pc. (Speak on It),10pc. (Speak on It),62800,1,6.956000843367713e+18,13.0,0.904,0.621,10.0,-4.979,0.0,0.349,0.177,0.0,0.0948,0.657,145.646,audio_features,spotify:track:64iaD7mlO3OMrL7ACCND13,https://api.spotify.com/v1/tracks/64iaD7mlO3OMrL7ACCND13,https://api.spotify.com/v1/audio-analysis/64iaD7mlO3OMrL7ACCND13,163000.0,4.0,2.716666666666667
0nrRP2bk19rLc0orkWPQk2,Wake Me Up,True,102100,1,2.4951578816271565e+17,85.0,0.532,0.783,2.0,-5.697,1.0,0.0523,0.0038,0.0012,0.161,0.643,124.08,audio_features,spotify:track:0nrRP2bk19rLc0orkWPQk2,https://api.spotify.com/v1/tracks/0nrRP2bk19rLc0orkWPQk2,https://api.spotify.com/v1/audio-analysis/0nrRP2bk19rLc0orkWPQk2,247427.0,4.0,4.123783333333333
3wkNK8tJZ2stygNJm8RCRD,I Luv You,I Luv You,203400,1,7.006275102320904e+18,61.0,0.723,0.322,8.0,-9.702,1.0,0.0341,0.014,0.0,0.119,0.0406,90.063,audio_features,spotify:track:3wkNK8tJZ2stygNJm8RCRD,https://api.spotify.com/v1/tracks/3wkNK8tJZ2stygNJm8RCRD,https://api.spotify.com/v1/audio-analysis/3wkNK8tJZ2stygNJm8RCRD,267867.0,4.0,4.46445
1sPEoVUVetWGP6jzSaDIrX,Eimai Akoma Paidi,Ola Ellinika,180900,4,6.789852241219029e+18,18.0,0.555,0.935,2.0,-3.71,1.0,0.0761,0.006,0.0,0.386,0.874,152.1,audio_features,spotify:track:1sPEoVUVetWGP6jzSaDIrX,https://api.spotify.com/v1/tracks/1sPEoVUVetWGP6jzSaDIrX,https://api.spotify.com/v1/audio-analysis/1sPEoVUVetWGP6jzSaDIrX,116000.0,4.0,1.9333333333333333
2Nn40S6ZDlqSDbIJBcXZ1f,Know Me Too Well,New Hope Club - Extended Version,38300,2,6.931291787479534e+18,50.0,0.756,0.706,1.0,-4.384,0.0,0.0393,0.424,0.0,0.0635,0.799,122.925,audio_features,spotify:track:2Nn40S6ZDlqSDbIJBcXZ1f,https://api.spotify.com/v1/tracks/2Nn40S6ZDlqSDbIJBcXZ1f,https://api.spotify.com/v1/audio-analysis/2Nn40S6ZDlqSDbIJBcXZ1f,200600.0,4.0,3.3433333333333333
32BeYxKPrig1LefHsC0Xuo,Happier Than Ever - Edit,Happier Than Ever - Edit,16900000,3,7.003940193593985e+18,86.0,0.334,0.599,0.0,-5.742,1.0,0.0365,0.0468,0.000392,0.205,0.127,161.74,audio_features,spotify:track:32BeYxKPrig1LefHsC0Xuo,https://api.spotify.com/v1/tracks/32BeYxKPrig1LefHsC0Xuo,https://api.spotify.com/v1/audio-analysis/32BeYxKPrig1LefHsC0Xuo,151444.0,3.0,2.5240666666666667
34xTFwjPQ1dC6uJmleno7x,Godspeed,Godspeed,401800,2,6.870706578203347e+18,76.0,0.421,0.0952,6.0,-12.561,1.0,0.0479,0.931,0.000201,0.126,0.0773,109.698,audio_features,spotify:track:34xTFwjPQ1dC6uJmleno7x,https://api.spotify.com/v1/tracks/34xTFwjPQ1dC6uJmleno7x,https://api.spotify.com/v1/audio-analysis/34xTFwjPQ1dC6uJmleno7x,177922.0,4.0,2.9653666666666667
2VGNV3fdVW5gdd4j2wYSU8,I'm a Nasty Hoe,The Booty Tape,30100,3,2.597293851409285e+17,46.0,0.8,0.276,4.0,-15.301,0.0,0.091,0.375,0.0,0.0699,0.0766,115.019,audio_features,spotify:track:2VGNV3fdVW5gdd4j2wYSU8,https://api.spotify.com/v1/tracks/2VGNV3fdVW5gdd4j2wYSU8,https://api.spotify.com/v1/audio-analysis/2VGNV3fdVW5gdd4j2wYSU8,179908.0,4.0,2.998466666666667
3LymIBUSWRoxxm7W5UQlXl,Damn It Feels Good To Be Me,Damn It Feels Good To Be Me,1200000,3,7.002780549282548e+18,62.0,0.706,0.777,0.0,-5.09,1.0,0.0384,0.0663,0.0,0.462,0.782,120.031,audio_features,spotify:track:3LymIBUSWRoxxm7W5UQlXl,https://api.spotify.com/v1/tracks/3LymIBUSWRoxxm7W5UQlXl,https://api.spotify.com/v1/audio-analysis/3LymIBUSWRoxxm7W5UQlXl,138307.0,4.0,2.3051166666666667
