id,title,album,views,videos,tt_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
75MNhvTCCKsST3YqqUiU9r,Shivers,Shivers,11700000,31,7002672309374814209,95,0.788,0.859,2,-2.724,1,0.0856,0.281,0,0.0424,0.822,141.02,audio_features,spotify:track:75MNhvTCCKsST3YqqUiU9r,https://api.spotify.com/v1/tracks/75MNhvTCCKsST3YqqUiU9r,https://api.spotify.com/v1/audio-analysis/75MNhvTCCKsST3YqqUiU9r,207853,4
1uNePI826aqh9uC9pgbeHU,Tia Tamera (feat. Rico Nasty),Tia Tamera,2607,3,5000000001451124121,75,0.822,0.654,0,-4.623,1,0.132,0.019,0,0.233,0.421,119.884,audio_features,spotify:track:1uNePI826aqh9uC9pgbeHU,https://api.spotify.com/v1/tracks/1uNePI826aqh9uC9pgbeHU,https://api.spotify.com/v1/audio-analysis/1uNePI826aqh9uC9pgbeHU,211013,4
64rqvMhAPLLEag310IG3z9,Greek Tragedy (Oliver Nelson TikTok Remix),Greek Tragedy (Oliver Nelson TikTok Remix),191600,4,6692774127926987525,71,0.736,0.764,8,-6.736,0,0.0482,0.222,0.00154,0.192,0.404,112.033,audio_features,spotify:track:64rqvMhAPLLEag310IG3z9,https://api.spotify.com/v1/tracks/64rqvMhAPLLEag310IG3z9,https://api.spotify.com/v1/audio-analysis/64rqvMhAPLLEag310IG3z9,306429,4
1KtD0xaLAikgIt5tPbteZQ,Thinking About You,Thinking About You,4300000,4,6930173737422505986,66,0.725,0.874,0,-3.715,0,0.0396,0.00262,0.000412,0.0958,0.748,127.985,audio_features,spotify:track:1KtD0xaLAikgIt5tPbteZQ,https://api.spotify.com/v1/tracks/1KtD0xaLAikgIt5tPbteZQ,https://api.spotify.com/v1/audio-analysis/1KtD0xaLAikgIt5tPbteZQ,247933,4
0JKPMQEx3Mdo3SG9LS2fFB,Polaroid Sx-70,undercurrent,1562,4,6828856356619995137,0,0.577,0.276,7,-15.882,0,0.0449,0.977,0.936,0.121,0.258,105.54,audio_features,spotify:track:0JKPMQEx3Mdo3SG9LS2fFB,https://api.spotify.com/v1/tracks/0JKPMQEx3Mdo3SG9LS2fFB,https://api.spotify.com/v1/audio-analysis/0JKPMQEx3Mdo3SG9LS2fFB,78160,4
6X3vLxLhx7uBfJ5p734Xm8,Git Çatla,Git Çatla,562400,12,7014112293302602497,31,0.972,0.295,11,-13.283,0,0.163,0.025,4.83e-05,0.0682,0.919,107.951,audio_features,spotify:track:6X3vLxLhx7uBfJ5p734Xm8,https://api.spotify.com/v1/tracks/6X3vLxLhx7uBfJ5p734Xm8,https://api.spotify.com/v1/audio-analysis/6X3vLxLhx7uBfJ5p734Xm8,100000,4
4p3G6c94uAydyrN9fh1KpY,Pio Psila,The Story So Far,86800,2,6709405894423103490,40,0.783,0.752,0,-6.631,1,0.0309,0.0227,0.0011,0.0993,0.565,126.997,audio_features,spotify:track:4p3G6c94uAydyrN9fh1KpY,https://api.spotify.com/v1/tracks/4p3G6c94uAydyrN9fh1KpY,https://api.spotify.com/v1/audio-analysis/4p3G6c94uAydyrN9fh1KpY,218871,4
1zZIGnXIcDKU8QIUkR20nK,She Doesn't Mind,Reggae Gold 2012,8900000,5,6704976477072394241,55,0.718,0.776,7,-5.208,0,0.0693,0.000624,5.3e-06,0.207,0.622,120.015,audio_features,spotify:track:1zZIGnXIcDKU8QIUkR20nK,https://api.spotify.com/v1/tracks/1zZIGnXIcDKU8QIUkR20nK,https://api.spotify.com/v1/audio-analysis/1zZIGnXIcDKU8QIUkR20nK,227787,4
5DeniHAnUjRo4KqTa9Ulsh,Fast and Furious,Fast and Furious,8200000,4,6828541077423671297,45,0.79,0.28,2,-15.56,1,0.298,0.253,0,0.0583,0.662,135.101,audio_features,spotify:track:5DeniHAnUjRo4KqTa9Ulsh,https://api.spotify.com/v1/tracks/5DeniHAnUjRo4KqTa9Ulsh,https://api.spotify.com/v1/audio-analysis/5DeniHAnUjRo4KqTa9Ulsh,85250,4
0YAQnYt2oB8OdoaeqnHyTI,TRIBE,,31700000,4,6769533325733267457,69,0.755,0.594,7,-5.906,1,0.216,0.241,0,0.107,0.237,178.929,audio_features,spotify:track:0YAQnYt2oB8OdoaeqnHyTI,https://api.spotify.com/v1/tracks/0YAQnYt2oB8OdoaeqnHyTI,https://api.spotify.com/v1/audio-analysis/0YAQnYt2oB8OdoaeqnHyTI,238053,4
